Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,D/E,Current Ratio,FixedAssetTurnover,TotalAssetTurnover
GFPT *,Agro & Food Industry,19897522.00,5993491.00,1253821.00,13779248.00,7361516.00,6647189.00,1372609.00,714327.00,547613.00,0.44,2038384.00,-933213.00,-328152.00,777019.00,8.81,7.99,14.49,7.44,9.70,0.43,2.20,1.75,0.85
STA *,Agro & Food Industry,67773295.24,25824452.27,1536000.00,31433580.12,33029610.05,30262682.13,4125971.39,2766927.92,1947850.80,1.27,8651175.22,-740013.00,6118230.28,14029392.50,7.78,5.49,15.08,5.90,8.38,0.82,1.62,2.35,1.04
CBG *,Agro & Food Industry,15362782.00,6131438.00,1000000.00,9017818.00,8625885.00,6504528.00,2452666.00,2121357.00,1682284.00,1.68,2318184.00,-402831.00,-1992515.00,-77162.00,38.88,27.02,41.50,19.50,24.59,0.68,0.70,1.51,1.10
CPF *,Agro & Food Industry,751319110.00,511909935.00,8611242.00,184510840.00,290015097.00,259177591.00,44595873.00,30837506.00,12139445.00,1.45,22960256.00,-7124051.00,43157408.00,58993613.00,12.64,7.91,18.23,4.19,10.63,2.77,1.02,2.83,0.83
MINT *,Agro & Food Industry,349711261.00,271736230.00,4619005.00,68472545.00,30224456.00,38691259.00,1428019.00,-8466803.00,-10221160.00,-2.36,-2580065.00,-7456357.00,15929922.00,5893500.00,-2.74,1.06,20.52,-33.82,-28.01,3.97,1.04,0.79,0.33
OSP *,Agro & Food Industry,26854370.00,7921413.00,3003750.00,18792191.00,13147182.00,11123618.00,2602597.00,2023564.00,1730190.00,0.58,1964876.00,98864.00,-1734379.00,329361.00,18.64,16.27,34.54,13.16,15.39,0.42,1.66,2.75,1.07
RBF *,Agro & Food Industry,4579361.41,750723.55,2000000.00,3829682.73,1516569.25,1186727.38,427707.87,329841.86,256314.90,0.13,262508.61,-642970.80,-408456.98,-788919.17,15.87,14.50,41.76,16.90,21.75,0.20,6.39,2.13,0.74
TKN *,Agro & Food Industry,3648577.00,1539921.00,345000.00,2108716.00,2128903.00,1925890.00,297519.00,203013.00,174590.00,0.13,677877.00,-272117.00,-261922.00,143838.00,17.13,10.45,27.29,8.20,9.54,0.73,1.63,4.64,1.27
TU *,Agro & Food Industry,139323199.00,85845560.00,1192954.00,49965075.00,64903839.00,60866022.00,4037817.00,4037817.00,2732451.00,0.54,8456203.00,-1861094.00,-6039253.00,555856.00,11.17,5.79,17.25,4.21,6.22,1.72,1.70,5.01,0.94
TVO *,Agro & Food Industry,11372807.00,1938587.00,808611.00,9027760.00,12364607.00,11271522.00,1278345.00,1093085.00,834272.00,1.03,1210956.00,-519193.00,-624442.00,67321.00,18.38,18.50,11.45,6.75,8.84,0.21,4.48,8.11,2.15
BBL *,Banking,3806363317.00,3367649962.00,19088429.00,438339959.00,74228985.00,0.00,16467549.00,13950978.00,10765492.00,5.64,127549216.00,-109471796.00,-10369480.00,7707940.00,6.55,1.08,67.94,14.50,18.79,7.68,0.00,2.88,0.04
KBANK *,Banking,3585799598.00,3135107579.00,23932602.00,402386328.00,91371511.00,0.00,18280160.00,13885666.00,9550226.00,4.02,121479569.00,-105030116.00,-29261180.00,-12811727.00,7.09,1.16,83.92,10.45,15.20,7.79,0.00,3.39,0.05
KKP *,Banking,372314606.00,328682708.00,8467511.00,43529540.00,13108293.00,0.00,3864836.00,3469175.00,2668257.00,3.15,19463570.00,479079.00,-20034432.00,-91783.00,13.93,2.20,73.16,20.36,26.47,7.55,0.00,8.27,0.07
KTB *,Banking,3171322531.00,2823028943.00,72005040.00,338035798.00,77662346.00,0.00,16699949.00,14341557.00,10222024.00,0.73,-42296844.00,40114555.00,-12187213.00,-14369502.00,7.32,1.11,77.74,13.16,18.47,8.35,0.00,6.05,0.05
SCB *,Banking,3110567014.00,2706531736.00,33991922.00,403528407.00,84082890.00,0.00,26907789.00,21923408.00,17610772.00,5.18,-7782776.00,22457187.00,-19406860.00,-4732449.00,9.50,1.77,80.62,20.94,26.07,6.71,0.00,4.14,0.05
TCAP *,Banking,148731888.00,77092777.00,11651297.00,63396135.00,7452429.00,0.00,7308698.00,7211510.00,5344953.00,4.94,-12564974.00,23639611.00,-11074620.00,17.00,18.40,0.35,61.90,71.72,96.77,1.22,0.00,-2.87,-0.03
TISCO *,Banking,275110804.00,238864020.00,8006555.00,36243597.00,11508653.00,0.00,3837733.00,3509597.00,2815481.00,3.52,17272486.00,-2764367.00,-14446505.00,61614.00,18.27,2.88,75.92,24.46,30.50,6.59,0.00,8.21,0.09
TMB *,Banking,1893152342.00,1691925865.00,91541387.00,201190621.00,46256020.00,0.00,11283410.00,8924570.00,7258398.00,0.08,-19419105.00,32315130.00,-18674375.00,-5778350.00,7.28,0.97,71.96,15.69,19.29,8.41,0.00,3.95,0.05
AEONTS *,Finance & Securities,88632784.00,73779056.00,250000.00,14541693.00,11289509.00,0.00,2399501.00,1976477.00,1585809.00,6.34,4305449.83,-231701.30,-4132159.00,-58410.47,20.96,4.99,89.10,14.05,17.51,5.07,0.00,24.62,0.25
JMT *,Finance & Securities,12921638.00,9319115.00,444254.00,3562535.00,1530341.00,0.00,571932.00,520161.00,433754.00,0.49,474615.00,-42181.00,840555.00,1272896.00,24.23,8.81,80.66,28.34,33.99,2.62,0.00,20.81,0.26
