Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,DE Ratio,FixedAssetTurnover,TotalAssetTurnover
GFPT,Agro & Food Industry,18129664.58,5403470.01,1253821,12602555.84,17015000.18,15635579.59,2103750.31,1379420.59,1037972.57,0.83,2478044.82,-1375104.16,-599108.88,503831.78,8.43,7.77,14.32,6.1,8.11,0.43,2.07,0.96
STA,Agro & Food Industry,55748105.25,30648330.79,1536000,24705190.61,75188031.96,71885383.81,5686145.19,3302648.15,2064357.82,1.34,10728309.97,-2571361.62,-6034751.9,2122196.45,8.67,5.72,9.67,2.75,4.39,1.24,3.09,1.3
CBG,Agro & Food Industry,14319921.34,6955212.45,1000000,7176832.39,14597432.92,13161990.84,1900393.89,1435442.08,1158572.23,1.16,1290209.1,-2044619.48,776995.52,22585.14,16.21,10.7,32.15,7.94,9.83,0.97,1.41,1.09
CPF,Agro & Food Industry,628090851,409432597,8611242,165533155,567820206,528480176,61747448,39340030,15531470,1.82,15294019,-27880466,22029479,9443032,9.31,6.44,12.12,2.74,6.93,2.47,2.96,0.93
MINT,Agro & Food Industry,267700311.3,184626188.8,4618914.29,71923744.98,79327998.67,69368829.99,15814345.01,9959168.68,5444770.76,1.18,7360308.1,-83145302.8,82970595.4,7185600.7,9.13,5.16,56.27,6.86,12.55,2.57,0.86,0.41
OSP,Agro & Food Industry,23456167.79,5153438.24,3003750,18087761.8,25163518.04,21360820.29,4876973.54,3802697.75,3005342.84,1.48,3612230.66,-5286597.01,5703381.76,4029015.41,28.06,19.68,32.44,11.94,15.11,0.28,3.74,1.3
TKN,Agro & Food Industry,3787347.53,1619112.36,345000,2164599.15,5697413.21,5153887.67,666558.05,543525.54,459180.54,0.33,-172441.97,84709.91,-34711.74,-122443.81,21.16,15.29,30.55,8.06,9.54,0.75,5.15,1.6
TU,Agro & Food Industry,141916082,95422038,1192954,43233471,136723658,130209629,9666691,6514029,3256211,0.68,12865963,-3403275,-8703734,758954,7.43,4.52,14.17,2.38,4.76,2.21,5.29,0.95
TVO,Agro & Food Industry,11038001,2192571,808611,8468873,25326128,23018542,2646703,2307586,1867437,2.31,3652233,-1148662,-2491407,12164,22.42,20.37,13.07,7.37,9.11,0.26,9.26,2.24
BBL,Banking,3116750224,2703591333,19088429,412814248,154265803,0,47627429,44271104,35329972,18.51,-23855372,23119868,-2503836,-3239340,8.67,1.43,64.43,22.9,28.7,6.55,3.57,0.05
KBANK,Banking,3155090809,2737268887,23932602,376297553,182231618,0,61996223,54602823,38459116,16.07,151398203,-142903989,-9577269,-1083055,10.61,1.8,79.52,21.1,29.96,7.27,3.69,0.06
KKP,Banking,306329498,263988938,8467511,42180456,22668928,0,8674137,7387115,6041983,7.14,16383963,-5699715,-10770295,-86047,14.47,2.61,69.11,26.65,32.59,6.26,8.22,0.08
KTB,Banking,2739203191,2425062088,72005040,305875449,154068756,0,40686338,37941298,28491290,2.04,19293621,519951,-24300967,-4487395,9.6,1.36,69.87,18.49,24.63,7.93,5.87,0.06
SCB,Banking,3187339625,2806356577,33991922,380026596,168620025,0,54320101,49563339,40067556,11.79,36961955,-14825792,-15801231,6334932,10.78,1.6,74.63,23.76,29.39,7.38,3.86,0.05
TCAP,Banking,1060929172,923010909,11651297,65735406,62241572,0,19883420,18411025,7839428,6.74,-4642936,9559714,-5348164,-431386,12.27,1.76,66.08,12.6,29.58,14.04,7.44,0.06
TISCO,Banking,302544634,264715178,8006555,37696527,24627006,0,8969209,8578452,7015685,8.76,-4161191,-1468775,5496958,-133008,19.41,2.83,71.31,28.49,34.83,7.02,8.72,0.08
TMB,Banking,891713310,792934397,41659299,98778913,48554591,0,15892610,14467191,11601235,0.26,165148,-688193,-2104328,-2627373,12.3,1.67,69.73,23.89,29.8,8.03,4.06,0.06
AEONTS,Finance & Securities,86355970,68789304,250000,17242713,19677990,0,5122123,4561776,3617878,14.48,-1432410,-662315,2464832,370107,22.57,5.48,88.08,18.39,23.18,3.99,21.31,0.24
JMT,Finance & Securities,8363329.85,4896514.77,443995.44,3395562.24,1885825.63,0,715006.18,665221.66,505515.56,0.6,-920360.24,-605390.44,1706364.17,180613.48,17.67,9.77,-10812.92,26.81,35.27,1.44,18.07,0.28
KTC,Finance & Securities,79647817,63296206,2578334,16351611,17713279,0,6767997,6416202,5139589,1.99,1916089,-221743,-673385,1020961,35.53,8.37,82.32,29.02,36.22,3.87,33.88,0.23
MTC,Finance & Securities,49146109.37,36847041.16,2120000,12299068.22,10416461.1,0,4844697.1,4626731.35,3713385.47,1.75,-6842794.87,-471913.9,7041158.34,-273550.42,34.96,10.75,88.47,35.65,44.42,3,9.1,0.24
SAWAD,Finance & Securities,39217136,25588938,1147772,11862860,7881325,0,3938716,3725874,2768360,2.41,-1478656,1088637,948372,558353,26.01,10.26,87.57,35.13,47.27,2.16,14.07,0.22
THANI,Finance & Securities,47531059.22,40336097.28,3020283.68,7194961.64,3827367.18,0,2074238.2,2051412.31,1640707.43,0.54,-5225208.28,-6816.96,5255554.91,23529.67,25.59,4.71,72.84,42.87,53.6,5.61,32.74,0.09
TQM,Insurance,3824894.65,1679645.38,300000,2145248.34,2525036.07,2024331.47,550527.23,500704.6,404266.27,1.77,246479.29,-1324020.77,1386403.68,308862.2,32.06,17.47,48.53,16.01,19.83,0.78,23.23,0.88
IVL,Petrochemicals & Chemicals,379194831,227339476,5614552,144837788,352471249,318093843,48650689,34377406,26465403,4.61,31980565,-56227319,22566733,-1680021,20.21,10.39,16.69,7.51,9.75,1.57,1.98,1.07
PTTGC,Petrochemicals & Chemicals,469255347.4,165773139.4,45088491.17,296045762.6,529734018.7,482883736.6,65905048.69,46850282.09,40069490.13,8.89,53629009.85,-32841553.88,-27397360.6,-6609904.63,14.04,10.36,10.15,7.56,8.84,0.56,2.28,1.17
EPG,Construction Materials,13518802.11,3296452.84,2800000,10198723.16,10764171.56,9664254.75,1758100.33,1099916.81,1024109.94,0.36,1261792.34,-696472.48,-453603.4,111716.46,10.17,8.31,27.91,9.51,10.22,0.32,1.9,0.81
SCC,Construction Materials,589787385,271918288,1200000,277096527,505307437,438556247,90498527,66751190,44748337,37.29,61686740,-31576117,-44985443,-14874820,16.63,11.48,19.85,8.86,13.21,0.98,2.04,0.87
TASCO,Construction Materials,24253466,11716365,1573822,12382141,27962743,26978761,1985192,983982,564466,0.36,-2620736,-563730,3330251,145785,4.48,4.5,8.55,2.02,3.52,0.95,3.35,1.28
TOA,Construction Materials,14935923.95,5571859.45,2029000,9419570.46,16454262.48,14158855.88,2637067.1,2295406.6,1824881.91,0.9,1997928.1,-829361.16,-1120718.16,47848.78,20.44,15.81,33.94,11.09,13.95,0.59,7.76,1.13
AMATA,Property Development,33021432.87,17452342.35,1067000,12967272.11,5266892.53,3423826.13,2157853.37,1843066.41,1018223.1,0.95,1870967.04,-3016538.96,1039345.12,-106226.79,7.98,5.92,51.75,19.33,34.99,1.35,2.59,0.17
AP,Property Development,49283659,24904353,3145899,24392746,28890088,24133711,4842150,4756377,3865409,1.23,-2930698,-465442,3293241,-102899,16.8,10.2,33.8,13.38,16.46,1.02,85.87,0.62
CPN,Property Development,161707826.4,87532089.37,2244000,65726019.52,37662631.6,23796043.3,19772323.73,13866588.3,11215652.87,2.5,17139330.1,-18449704.86,1884320.65,573945.88,17.59,9.82,48.12,29.78,36.82,1.33,22.68,0.27
LH,Property Development,111480887.8,60729166.92,11949713.18,49982659.32,39851632.16,26909162.16,13558215.93,12942470,10475428.51,0.88,8652333.22,2082874.94,-8582612.55,2152595.62,20.94,11.71,35.07,26.29,32.48,1.22,55.66,0.36
ORI,Property Development,27203326.87,18402008.54,1224536.97,7437307.41,16637833.25,12019000.3,4752834.19,4618832.96,3337952.63,1.37,1385255.97,-3556274.66,3169864.88,998846.2,53.15,18.43,40.71,20.06,27.76,2.47,27.6,0.66
PSH,Property Development,81845120.08,39970636.49,2188504.92,41170947.12,45070518.9,37245386.05,8322444.27,7825132.85,6022370.22,2.75,1525206.57,-596444.12,-831741.3,97021.16,15.23,10.16,35.83,13.36,17.36,0.97,9.62,0.58
QH,Property Development,54147870.05,27878379.14,10714381.64,26269490.91,18117664.07,13419548.1,4879460.81,4698115.97,3800740.49,0.35,2363313.53,1044416.36,-3395938.31,11791.58,14.88,8.76,35.73,20.98,25.93,1.06,17,0.34
SIRI,Property Development,95356736.11,64504344.7,15903125.72,30848334.9,27590087.46,24444927.38,3455258.98,3145160.09,2045977.71,0.14,-5807135.66,-2496262.89,9333001.96,1029603.42,6.67,3.58,29.21,7.42,11.4,2.09,14.06,0.31
SPALI,Property Development,57703774,22982094,2143079,33985776,25809534,18556337,7370135,7253197,5770419,2.92,5009043,-13725,-4387953,607365,18.71,12.79,37.53,22.36,28.1,0.68,64.19,0.46
WHA,Property Development,78344947.82,47330854.97,1433426.72,27225728.78,11622203.51,6239541.36,5893518.75,5382662.15,2906809.57,0.2,422663.21,354436.89,477534.99,1254635.09,11.08,7.08,44.34,25.01,46.31,1.74,2.58,0.15
CK,Construction Services,83500540.99,57671822.72,1693896.87,25421011.82,31175568.36,27302856.05,4578236.58,3872712.31,2494309.04,1.47,7164345.75,-1876533.6,-3357181.08,1930631.07,10.2,4.76,7.92,8,12.42,2.27,3.44,0.38
STEC,Construction Services,45575414.91,34354542.98,1525106.54,10961062.03,28000913.67,25937590.13,2677282.79,2063323.53,1616863,1.06,9173293.63,-3418373.68,-895736.85,4859183.1,16.03,5.24,7.69,5.77,7.37,3.13,7.11,0.71
BANPU,Energy & Utilities,274317395,171304585,5161925,83060460,123345430,101333057,32556453,22012373,6693731,1.3,13424007,-14825349,-779986,-2181328,7.95,8.11,26.94,5.43,17.85,2.06,2.08,0.45
BCP,Energy & Utilities,117368617.8,67831063.75,1376923.16,42714965.08,194171349,188898156.5,10175477.55,5273192.48,2462881.1,1.79,5950031.97,-9099583.54,4724929.89,1575378.32,5.57,4.56,5.95,1.27,2.72,1.59,4.01,1.68
BCPG,Energy & Utilities,31557876.4,16415632.75,9984137.3,15142096.7,4433507.67,1588138.28,3538520.49,2845369.39,2219228.26,1.11,2473789.17,1341911.41,-3399968.78,415731.79,15.04,8.94,70.81,50.06,64.18,1.08,0.33,0.14
BGRIM,Energy & Utilities,100636039.9,72896916.28,5213800,19253457.87,37226864.57,31146317.15,9421556.25,6080547.42,1862806.38,0.71,7658020.29,-9973276.96,-3290005.86,-5605262.53,9.83,6.4,18.73,5,16.33,3.79,0.65,0.39
BPP,Energy & Utilities,51566130,10384988,30510217,40409650,11554728,7181197,4998733,4373531,3812668,1.25,-799550,387142,770432,358024,9.6,8.81,20.1,33,37.85,0.26,0.95,0.23
CKP,Energy & Utilities,62503102.18,30981103.26,7370000,18333427.14,9156783.15,6647441.01,4595622.62,2509342.15,599068.45,0.08,4283124.8,-3631494.57,-254901.94,396728.29,3.32,4.08,32.7,6.54,27.4,1.69,0.29,0.15
EA,Energy & Utilities,59207593.4,39689968.02,373000,18138663.07,12656296.35,6479136.08,8010203.63,6177160.26,4975210.9,1.33,7192714.54,-5566718.38,-598333.93,1027662.23,30.33,11.91,50.93,39.31,48.81,2.19,0.31,0.24
EGCO,Energy & Utilities,206427808.6,105577458.8,5264650,100239383.3,58235158.43,32170900.14,29229482.14,26064258.29,21072883.49,40.03,11253458.5,31588535.74,-15714060.76,27127933.48,22.6,12.82,25.1,36.19,44.76,1.05,0.99,0.29
ESSO,Energy & Utilities,61749982,35917884,17075181,25824664,201247671,198355951,4902343,2891720,2225164,0.64,2102798,-888501,-1179818,34479,8.24,4.79,4.09,1.11,1.44,1.39,7.61,3.33
GPSC,Energy & Utilities,64439023.42,22089945.07,14983008,39991965.13,25895563.81,21249838.78,6447761.6,4645725.02,3359187.2,2.24,5848113.55,-4153137.35,-716530.3,978445.9,8.55,7.47,18.47,12.97,17.94,0.55,0.93,0.42
GULF,Energy & Utilities,123668657.6,78880411.27,10666500,36536941.31,20229233.11,14170345.76,7450543.44,6058887.35,3028134.96,1.42,2401684.21,-16143822.74,10218248.96,-3523889.58,8.52,5.4,26.19,14.97,29.95,2.16,0.34,0.18
GUNKUL,Energy & Utilities,35624749.77,26124701.89,1854655.37,8910511.58,6730289.65,4647931.39,2845167.88,2082358.26,1090239.16,0.15,1124388.1,-6191879.58,4807547.18,-259944.29,12.04,6.31,37.4,16.2,30.94,2.93,0.33,0.2
IRPC,Energy & Utilities,182445664.1,95066031.76,20434419.25,87286112.66,282750796,271874575.2,19113612.28,10876220.78,7734991.64,0.38,18304112.37,-6536748.08,-11574572.62,192791.67,8.85,5.93,5.67,2.74,3.85,1.09,2.25,1.54
PTG,Energy & Utilities,20939729.58,15463906.23,1670000,5444030.7,108142002.1,107108901.5,3512733.49,1033100.61,624741.54,0.37,4923105.38,-5346628.7,508300.23,84776.91,11.85,5.31,6.9,0.58,0.96,2.84,10.87,5.56
PTT,Energy & Utilities,2355483872,1036989522,28562996.25,875083826.4,2367958544,2121274150,370240664.4,246684394.4,119683943.3,4.15,267800988.9,-34147974.88,-111467552.6,122185461.4,14.13,10.75,13.4,5.05,10.42,1.19,2.06,1.03
PTTEP,Energy & Utilities,635087330.3,245023943,3969985.4,390063387.3,176943163.7,109265456.4,127486710.2,67677707.34,36206290.33,8.69,106058041.1,3755440.6,-55685331.39,54128150.34,9.45,10.72,79.01,20.46,38.25,0.63,0.67,0.28
RATCH,Energy & Utilities,101251902,41315885.11,14500000,59936016.84,45083538.47,37629104.27,8638451.75,7454434.2,5587601.85,3.85,7168564.18,-9015136.28,3789822.11,1943250.01,9.07,7.63,11.54,12.39,16.53,0.69,2.44,0.46
SGP,Energy & Utilities,35804439.5,25675629.01,918931.5,9986674.85,69281185.46,67767240.56,2651494.88,1513944.9,871183.88,0.47,-1126788.11,-2932095.39,4317751.56,258868.07,8.25,4.5,3.3,1.26,2.19,2.57,4.29,2.06
SPRC,Energy & Utilities,55010637.94,16482115.29,30004442.7,38528522.65,210036908,207183098,5590538.34,2853810.02,2263254.17,0.52,6482539.04,-803975.21,-7810670.5,-2132106.67,5.61,4.97,1.42,1.08,1.36,0.43,7.06,3.66
SUPER,Energy & Utilities,49649961,32094910,2734947,13753131,5874301,3137128,4724560,2737173,1045433,0.04,3246006,-2202793,457914,1501127,7.9,5.67,54.14,17.8,46.6,2.33,0.15,0.12
TOP,Energy & Utilities,268612953.5,142140574.9,20400278.73,121712022.6,393039394.6,376730215.8,23572962.12,16309178.83,10149038.05,4.97,18313045.86,-25846279.11,25565584.02,18032350.77,8.32,6.57,4.16,2.58,4.15,1.17,4.96,1.58
TPIPP,Energy & Utilities,31541224,6492847,8400000,25048377,7915347,4036750,4359688,3878597,3698959,0.44,3932681,-5082672,1143996,-5995,15.02,13.12,52.08,46.73,49,0.26,0.34,0.27
