 Symbol , Market , Index/Industry/Sector , Security Type 
AAV,SET,TRANS,Common Shares
ACE,SET,ENERG,Common Shares
ADVANC,SET,ICT,Common Shares
AEONTS,SET,FIN,Common Shares
AMATA,SET,PROP,Common Shares
AOT,SET,TRANS,Common Shares
AP,SET,PROP,Common Shares
AWC,SET,PROP,Common Shares
BANPU,SET,ENERG,Common Shares
BBL,SET,BANK,Common Shares
BCH,SET,HELTH,Common Shares
BCP,SET,ENERG,Common Shares
BCPG,SET,ENERG,Common Shares
BDMS,SET,HELTH,Common Shares
BEC,SET,MEDIA,Common Shares
BEM,SET,TRANS,Common Shares
BGRIM,SET,ENERG,Common Shares
BH,SET,HELTH,Common Shares
BJC,SET,COMM,Common Shares
BPP,SET,ENERG,Common Shares
BTS,SET,TRANS,Common Shares
CBG,SET,FOOD,Common Shares
CENTEL,SET,TOURISM,Common Shares
CHG,SET,HELTH,Common Shares
CK,SET,CONS,Common Shares
CKP,SET,ENERG,Common Shares
COM7,SET,COMM,Common Shares
CPALL,SET,COMM,Common Shares
CPF,SET,FOOD,Common Shares
CPN,SET,PROP,Common Shares
CRC,SET,COMM,Common Shares
DOHOME,SET,COMM,Common Shares
DTAC,SET,ICT,Common Shares
EA,SET,ENERG,Common Shares
EGCO,SET,ENERG,Common Shares
EPG,SET,CONMAT,Common Shares
ERW,SET,TOURISM,Common Shares
ESSO,SET,ENERG,Common Shares
GFPT,SET,AGRI,Common Shares
GLOBAL,SET,COMM,Common Shares
GPSC,SET,ENERG,Common Shares
GULF,SET,ENERG,Common Shares
GUNKUL,SET,ENERG,Common Shares
HANA,SET,ETRON,Common Shares
HMPRO,SET,COMM,Common Shares
INTUCH,SET,ICT,Common Shares
IRPC,SET,ENERG,Common Shares
IVL,SET,PETRO,Common Shares
JAS,SET,ICT,Common Shares
JMT,SET,FIN,Common Shares
KBANK,SET,BANK,Common Shares
KCE,SET,ETRON,Common Shares
KKP,SET,BANK,Common Shares
KTB,SET,BANK,Common Shares
KTC,SET,FIN,Common Shares
LH,SET,PROP,Common Shares
MAJOR,SET,MEDIA,Common Shares
MEGA,SET,COMM,Common Shares
MINT,SET,FOOD,Common Shares
MTC,SET,FIN,Common Shares
ORI,SET,PROP,Common Shares
OSP,SET,FOOD,Common Shares
PLANB,SET,MEDIA,Common Shares
PRM,SET,TRANS,Common Shares
PSH,SET,PROP,Common Shares
PTG,SET,ENERG,Common Shares
PTT,SET,ENERG,Common Shares
PTTEP,SET,ENERG,Common Shares
PTTGC,SET,PETRO,Common Shares
QH,SET,PROP,Common Shares
RATCH,SET,ENERG,Common Shares
RBF,SET,FOOD,Common Shares
RS,SET,COMM,Common Shares
SAWAD,SET,FIN,Common Shares
SCB,SET,BANK,Common Shares
SCC,SET,CONMAT,Common Shares
SGP,SET,ENERG,Common Shares
SIRI,SET,PROP,Common Shares
SPALI,SET,PROP,Common Shares
SPRC,SET,ENERG,Common Shares
STA,SET,AGRI,Common Shares
STEC,SET,CONS,Common Shares
SUPER,SET,ENERG,Common Shares
TASCO,SET,CONMAT,Common Shares
TCAP,SET,BANK,Common Shares
THANI,SET,FIN,Common Shares
TISCO,SET,BANK,Common Shares
TKN,SET,FOOD,Common Shares
TMB,SET,BANK,Common Shares
TOA,SET,CONMAT,Common Shares
TOP,SET,ENERG,Common Shares
TPIPP,SET,ENERG,Common Shares
TQM,SET,INSUR,Common Shares
TRUE,SET,ICT,Common Shares
TTW,SET,ENERG,Common Shares
TU,SET,FOOD,Common Shares
TVO,SET,FOOD,Common Shares
VGI,SET,MEDIA,Common Shares
WHA,SET,PROP,Common Shares
WHAUP,SET,ENERG,Common Shares
